店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
炉ばた居酒屋 大蔵家 石山総本店,050-5484-3494,,滋賀県,大津市,粟津町17-16,,https://ookuraya-honten.gorp.jp/,True
魚民 柳井駅前店,0820-22-2088,,山口県,柳井市,中央2-16-10,,https://y043403.gorp.jp/,True
鉄板焼 龍神 名駅店,050-5486-5078,ryujin-m@datz.jp,愛知県,名古屋市中村区,名駅4-10-25,,https://datz-n238900.gorp.jp/,True
全席個室 じぶんどき 名駅広小路通店,050-5484-8364,,愛知県,名古屋市中村区,名駅4-26-12,,http://wedding.gnavi.co.jp/rdt/kaoawase/nc55600/,False
個室ダイニング 楽蔵うたげ 名古屋栄錦通り店,050-5484-9526,,愛知県,名古屋市中区,錦3-17-18,,http://wedding.gnavi.co.jp/rdt/kaoawase/nc55600/,False
伊達のくら仙台西口店,050-5487-7097,,宮城県,仙台市青葉区,中央1-6-1,,https://ta7x000.gorp.jp/,True
猪名野 中の坊瑞苑内,050-5484-1781,,兵庫県,神戸市北区,有馬町808,,https://k218602.gorp.jp/,True
鉄板焼 一鐡 グランデール 吉祥寺,050-5484-6480,,東京都,武蔵野市,吉祥寺本町2-13-7,,https://g153702.gorp.jp/,True
ぴこぴこ精肉店 宇多津,050-5493-3974,,香川県,綾歌郡宇多津町,浜2-12-5,,https://s563506.gorp.jp/,True
地下食堂 mogura,050-1807-8283,,大阪府,大阪市北区,角田町7-10,,https://c297918.gorp.jp/,True
楽家,050-5487-0882,,沖縄県,那覇市,高良3-2-16,,https://fbfj800.gorp.jp/,True
ステーキ＆シーフード58,050-5488-7426,,沖縄県,名護市,名護4558-8,,https://fbp7100.gorp.jp/,True
韓豚屋 有楽町店,050-5484-7049,,東京都,千代田区,有楽町2-1-5,,https://fbp7100.gorp.jp/,True
魚民 南彦根東口駅前店,0749-24-0688,,滋賀県,彦根市,小泉町271-1,,https://kc1v628.gorp.jp/,True
丸壱富士 渋谷道玄坂,050-5492-2874,,東京都,渋谷区,円山町5-18,,https://g822710.gorp.jp/,True
ゆるりと菜 村さ来 名取駅前店,050-5493-1864,,宮城県,名取市,増田2-4-46-1,,https://ta44902.gorp.jp/,True
